pricingID;name;regionCategory;date;price;timestamp;createdAt;updatedAt;grouping;providerID
1;t4g.xlarge-general-purpose;AWS-ap-south-1;2023-08-30 02:00:00+02;0.0269;2023-10-30 19:55:10.711+01;2023-10-30 19:55:10.711+01;2023-10-30 19:55:10.711+01;GP1;AWS
2;t4g.xlarge-general-purpose;AWS-eu-central-1;2023-08-31 02:00:00+02;0.0647;2023-10-30 19:55:09.697+01;2023-10-30 19:55:09.697+01;2023-10-30 19:55:09.697+01;GP1;AWS
3;c6a.xlarge-compute-optimized;AWS-eu-central-1;2023-08-31 02:00:00+02;0.1064;2023-10-30 19:55:09.949+01;2023-10-30 19:55:09.949+01;2023-10-30 19:55:09.949+01;CO1;AWS
4;t4g.xlarge-general-purpose;AWS-ap-south-1;2023-08-31 02:00:00+02;0.0312;2023-10-30 19:55:10.71+01;2023-10-30 19:55:10.71+01;2023-10-30 19:55:10.71+01;GP1;AWS
5;c6a.xlarge-compute-optimized;AWS-ap-south-1;2023-08-31 02:00:00+02;0.0779;2023-10-30 19:55:10.897+01;2023-10-30 19:55:10.897+01;2023-10-30 19:55:10.897+01;CO1;AWS
6;c6a.xlarge-compute-optimized;AWS-us-east-1;2023-08-31 02:00:00+02;0.1265;2023-10-30 19:55:11.48+01;2023-10-30 19:55:11.48+01;2023-10-30 19:55:11.48+01;CO1;AWS
7;t4g.xlarge-general-purpose;AWS-us-east-1;2023-08-31 02:00:00+02;0.1344;2023-10-30 19:55:11.588+01;2023-10-30 19:55:11.588+01;2023-10-30 19:55:11.588+01;GP1;AWS
8;t4g.xlarge-general-purpose;AWS-us-west-2;2023-08-31 02:00:00+02;0.1189;2023-10-30 19:55:12.065+01;2023-10-30 19:55:12.065+01;2023-10-30 19:55:12.065+01;GP1;AWS
9;c6a.xlarge-compute-optimized;AWS-us-west-2;2023-08-31 02:00:00+02;0.1251;2023-10-30 19:55:12.071+01;2023-10-30 19:55:12.071+01;2023-10-30 19:55:12.071+01;CO1;AWS
10;t4g.xlarge-general-purpose;AWS-eu-central-1;2023-09-01 02:00:00+02;0.0642;2023-10-30 19:55:09.696+01;2023-10-30 19:55:09.696+01;2023-10-30 19:55:09.696+01;GP1;AWS
11;c6a.xlarge-compute-optimized;AWS-eu-central-1;2023-09-01 02:00:00+02;0.1066;2023-10-30 19:55:09.948+01;2023-10-30 19:55:09.948+01;2023-10-30 19:55:09.948+01;CO1;AWS
12;t4g.xlarge-general-purpose;AWS-ap-south-1;2023-09-01 02:00:00+02;0.0325;2023-10-30 19:55:10.709+01;2023-10-30 19:55:10.709+01;2023-10-30 19:55:10.709+01;GP1;AWS
13;c6a.xlarge-compute-optimized;AWS-ap-south-1;2023-09-01 02:00:00+02;0.0770;2023-10-30 19:55:10.896+01;2023-10-30 19:55:10.896+01;2023-10-30 19:55:10.896+01;CO1;AWS
14;c6a.xlarge-compute-optimized;AWS-us-east-1;2023-09-01 02:00:00+02;0.1264;2023-10-30 19:55:11.478+01;2023-10-30 19:55:11.478+01;2023-10-30 19:55:11.478+01;CO1;AWS
15;t4g.xlarge-general-purpose;AWS-us-east-1;2023-09-01 02:00:00+02;0.1344;2023-10-30 19:55:11.588+01;2023-10-30 19:55:11.588+01;2023-10-30 19:55:11.588+01;GP1;AWS
16;t4g.xlarge-general-purpose;AWS-us-west-2;2023-09-01 02:00:00+02;0.1191;2023-10-30 19:55:12.064+01;2023-10-30 19:55:12.064+01;2023-10-30 19:55:12.064+01;GP1;AWS
17;c6a.xlarge-compute-optimized;AWS-us-west-2;2023-09-01 02:00:00+02;0.1250;2023-10-30 19:55:12.07+01;2023-10-30 19:55:12.07+01;2023-10-30 19:55:12.07+01;CO1;AWS
18;t4g.xlarge-general-purpose;AWS-us-west-1;2023-09-01 02:00:00+02;0.0554;2023-10-31 17:36:17.772+01;2023-10-31 17:36:17.772+01;2023-10-31 17:36:17.772+01;GP1;AWS
19;c6a.xlarge-compute-optimized;AWS-us-west-1;2023-09-01 02:00:00+02;0.0791;2023-10-31 17:36:18.423+01;2023-10-31 17:36:18.423+01;2023-10-31 17:36:18.423+01;CO1;AWS
20;t4g.xlarge-general-purpose;AWS-eu-central-1;2023-09-02 02:00:00+02;0.0632;2023-10-30 19:55:09.695+01;2023-10-30 19:55:09.695+01;2023-10-30 19:55:09.695+01;GP1;AWS
21;c6a.xlarge-compute-optimized;AWS-eu-central-1;2023-09-02 02:00:00+02;0.1080;2023-10-30 19:55:09.947+01;2023-10-30 19:55:09.947+01;2023-10-30 19:55:09.947+01;CO1;AWS
